Run,isolation_source
SRR5192369,Soil DNA-dreid soil-irrigated-rep1
SRR5192371,Soil DNA-dreid soil-irrigated-rep2
SRR5192373,Soil DNA-dreid soil-irrigated-rep3
SRR5192377,Soil DNA-dreid soil-irrigated-rep4
SRR5192266,Soil DNA-fresh soil-irrigated-rep1
SRR5192264,Soil DNA-fresh soil-irrigated-rep2
SRR5192275,Soil DNA-fresh soil-irrigated-rep3
SRR5192360,Soil DNA-fresh soil-irrigated-rep4
SRR5187785,Soil DNA-incubated soil-irrigated-rep1
SRR5192365,Soil DNA-incubated soil-irrigated-rep2
SRR5192367,Soil DNA-incubated soil-irrigated-rep3
SRR5192368,Soil DNA-incubated soil-irrigated-rep4
SRR5192379,Soil DNA-reincubated soil-irrigated-rep1
SRR5192382,Soil DNA-reincubated soil-irrigated-rep2
SRR5192385,Soil DNA-reincubated soil-irrigated-rep3
SRR5192387,Soil DNA-reincubated soil-irrigated-rep4
SRR5192417,Soil RNA-dreid soil-irrigated-rep1
SRR5192423,Soil RNA-dreid soil-irrigated-rep2
SRR5192425,Soil RNA-dreid soil-irrigated-rep3
SRR5192426,Soil RNA-dreid soil-irrigated-rep4
SRR5192394,Soil RNA-fresh soil-irrigated-rep1
SRR5192397,Soil RNA-fresh soil-irrigated-rep2
SRR5192401,Soil RNA-fresh soil-irrigated-rep3
SRR5192402,Soil RNA-fresh soil-irrigated-rep4
SRR5192405,Soil RNA-incubated soil-irrigated-rep1
SRR5192407,Soil RNA-incubated soil-irrigated-rep2
SRR5192409,Soil RNA-incubated soil-irrigated-rep3
SRR5192411,Soil RNA-incubated soil-irrigated-rep4
SRR5192429,Soil RNA-reincubated soil-irrigated-rep1
SRR5192431,Soil RNA-reincubated soil-irrigated-rep2
SRR5192434,Soil RNA-reincubated soil-irrigated-rep3
SRR5192436,Soil RNA-reincubated soil-irrigated-rep4
